10,English (Philippines),SUNDAY,1,1,2024,9:00 AM,1/1/2024
9,English (Philippines),SATURDAY,7,1,2024,12:00 PM,7/1/2024
8,English (Philippines),MONDAY,2,1,2024,7:30 PM,2/1/2024
7,English (Philippines),WEDNESDAY,4,1,2024,2:00 PM,4/1/2024
6,English (Philippines),SUNDAY,1,1,2024,No Selected Timeslot,1/1/2024
5,English (Philippines),SUNDAY,31,12,2023,7:15 PM,31/12/2023
4,English (Philippines),SUNDAY,31,12,2023,7:30 PM,31/12/2023
3,English (Philippines),SUNDAY,31,12,2023,7:30 PM,31/12/2023
2,English (Philippines),SATURDAY,30,12,2023,7:30 PM,30/12/2023
1,English (Philippines),THURSDAY,28,12,2023,9:00 AM,27/12/2023
